catalog_number|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_umbral|lunation_number|saros_number|delta_Ts|QSE|gamma|magnitude_penumbral|duration_penumbral|duration_parial|duration_total|year_BC|upper|lower|my_50|intensity_category|page|gif
1|-1999|6|26|2|13|28|-24|-22|N|-0.1922|-49456|17|46437|t-|-1.0981|0.8791|4.467|||Jun 26, 2000 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1999-06-26N.gif
2|-1999|11|21|8|23|49|15|-98|N|-0.1921|-49451|-16|46427|-a|-1.1155|0.8143|3.883|||Nov 21, 2000 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1999-11-21N.gif
3|-1998|5|17|5|47|36|-13|89|P|0.2069|-49445|-11|46416|-t|0.8988|1.2105|4.683|1.7||May 17, 1999 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1998-05-17P.gif
4|-1998|11|11|5|15|58|12|113|P|0.974|-49439|-6|46404|-a|-0.4644|2.0382|5.717|3.333||Nov 11, 1999 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1998-11-11P.gif
5|-1997|5|6|6|57|1|-11|-92|T+|1.6963|-49433|-1|46392|pp|0.1003|2.6513|5.367|3.55|1.633|May 6, 1998 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1997-05-06T.gif
6|-1997|10|31|6|54|9|9|88|T+|1.4014|-49427|4|46380|pp|0.2207|2.5057|6.233|3.8|1.5|Oct 31, 1998 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1997-10-31T.gif
7|-1996|4|25|11|57|19|-7|13|P|0.7159|-49421|9|46368|a-|-0.6385|1.6562|4.8|2.767||Apr 25, 1997 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1996-04-25P.gif
8|-1996|10|19|6|0|26|5|101|P|0.1756|-49415|14|46357|t-|0.8915|1.2694|5.133|1.667||Oct 19, 1997 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1996-10-19P.gif
9|-1995|3|16|6|59|6|10|-87|N|-0.3471|-49410|-19|46347|-a|1.2015|0.6538|3.617|||Mar 16, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-03-16N.gif
10|-1995|4|15|4|12|15|-4|130|N|-0.701|-49409|19|46345|a-|-1.4029|0.2681|2.317|||Apr 15, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-04-15N.gif
11|-1995|9|8|9|0|34|-13|-121|N|-0.4652|-49404|-14|46335|-a|-1.2651|0.5382|3.267|||Sep 8, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-09-08N.gif
12|-1995|10|8|10|5|4|1|40|N|-0.9571|-49403|24|46333|a-|1.5232|0.0836|1.383|||Oct 8, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-10-08N.gif
13|-1994|3|6|2|7|38|13|166|P|0.9355|-49398|-9|46323|-t|0.4871|1.9933|5.783|3.367||Mar 6, 1995 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1994-03-06P.gif
14|-1994|8|29|11|25|40|-16|23|P|0.8992|-49392|-4|46311|-a|-0.5326|1.8619|5|3||Aug 29, 1995 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1994-08-29P.gif
15|-1993|2|23|2|59|48|16|153|T-|1.3571|-49386|1|46300|pp|-0.2503|2.4408|6.183|3.8|1.45|Feb 23, 1994 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1993-02-23T.gif
16|-1993|8|19|3|45|11|-19|137|T+|1.5744|-49380|6|46288|p-|0.1639|2.5396|5.333|3.483|1.55|Aug 19, 1994 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1993-08-19T.gif
17|-1992|2|12|4|9|50|18|135|P|0.0571|-49374|11|46276|t-|-0.9653|1.1167|4.783|0.95||Feb 12, 1993 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1992-02-12P.gif
18|-1992|8|7|5|18|34|-20|-67|P|0.1748|-49368|16|46264|h-|0.9154|1.1818|4.6|1.55||Aug 7, 1993 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1992-08-07P.gif
19|-1991|1|2|12|22|41|25|-171|N|-0.144|-49363|-17|46254|-a|1.094|0.8451|3.883|||Jan 2, 1992 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1991-01-02N.gif
20|-1991|6|28|9|30|53|-24|48|N|-0.2379|-49357|-12|46243|-t|-1.1239|0.8298|4.35|||Jun 28, 1992 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1991-06-28N.gif
21|-1991|12|22|3|38|22|23|-42|T|1.1362|-49351|-7|46231|-p|0.4019|2.1044|5.133|3.217|0.867|Dec 22, 1992 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1991-12-22T.gif
22|-1990|6|17|9|59|52|-22|40|T|1.1436|-49345|-2|46219|-t|-0.3722|2.2071|6|3.617|0.983|Jun 17, 1991 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1990-06-17T.gif
23|-1990|12|12|6|49|16|21|90|T-|1.3616|-49339|3|46207|p-|-0.2724|2.3547|5.383|3.433|1.333|Dec 12, 1991 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1990-12-12T.gif
24|-1989|6|6|2|31|12|-19|-28|T|1.1041|-49333|8|46196|h-|0.4062|2.1212|5.633|3.45|0.817|Jun 6, 1990 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1989-06-06T.gif
25|-1989|12|1|5|21|2|18|-69|Nx|-0.0058|-49327|13|46184|h-|-1.0024|1.0436|4.517|||Dec 1, 1990 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1989-12-01N.gif
