catalog_number|catalog_plate|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_eclipse|lunation_number|saros_number|delta_Ts|QLE|gamma|sun_altitude|sun_azimuth|duration_central|path_width|year_BC|upper|lower|my_50|intensity_category|page|gif
1|001|-1999|6|12|3|14|51|6.0|-33.3|T|1.0733|-49456|5|46438|-n|-0.2701|74|344|6.617|247|Jun 12, 2000 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1999-06-12.gif
2|001|-1999|12|5|11|45|23|-32.9|10.8|A|0.9382|-49450|10|46426|n-|-0.2317|76|21|6.733|236|Dec 05, 2000 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1999-12-05.gif
3|001|-1998|6|1|6|9|16|46.2|83.4|T|1.0284|-49444|15|46415|p-|0.4994|60|151|2.25|111|Jun 01, 1999 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1998-06-01.gif
4|001|-1998|11|25|5|57|3|-67.8|-143.8|A|0.9806|-49438|20|46403|p-|-0.9045|25|74|1.233|162|Nov 25, 1999 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1998-11-25.gif
5|001|-1997|4|22|1|19|56|-60.6|-106.4|P|0.1611|-49433|-13|46393|-t|-1.4670|0|281|||Apr 22, 1998 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-04-22.gif
6|001|-1997|5|22|2|45|35|61.7|-151.7|P|0.4035|-49432|25|46391|t-|1.3253|0|55|||May 22, 1998 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-05-22.gif
7|001|-1997|10|16|8|1|52|60.6|-22.7|P|0.6954|-49427|-8|46381|-t|1.1669|0|265|||Oct 16, 1998 BC|-1999|-1900|-2000|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-10-16.gif
8|001|-1997|11|14|6|48|49|-61.5|-27.7|P|0.0377|-49426|30|46379|t-|-1.5183|0|120|||Nov 14, 1998 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-11-14.gif
9|001|-1996|4|10|1|54|52|-38.2|-167.2|A|0.9464|-49421|-3|46369|-p|-0.7231|43|321|5.183|277|Apr 10, 1997 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1996-04-10.gif
10|001|-1996|10|4|11|23|37|28.8|38.6|T|1.0257|-49415|2|46358|-p|0.5166|59|214|2.067|101|Oct 04, 1997 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1996-10-04.gif
11|001|-1995|3|30|5|24|52|-0.2|112.7|A|0.9873|-49409|7|46346|nn|0.0609|87|151|1.283|45|Mar 30, 1996 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1995-03-30.gif
